,pruning_rate,accuracy
0,0,0.11599999666213989
1,1,0.13099999725818634
2,2,0.11699999868869781
3,3,0.1379999965429306
4,4,0.1379999965429306
5,5,0.1340000033378601
6,6,0.13600000739097595
7,7,0.14499999582767487
8,8,0.14399999380111694
9,9,0.1459999978542328
10,10,0.13099999725818634
11,11,0.12999999523162842
12,12,0.11900000274181366
13,13,0.11699999868869781
14,14,0.11100000143051147
15,15,0.1080000028014183
16,16,0.1080000028014183
17,17,0.1080000028014183
18,18,0.10999999940395355
19,19,0.10499999672174454
20,20,0.10599999874830246
21,21,0.10499999672174454
22,22,0.10599999874830246
23,23,0.10700000077486038
24,24,0.10499999672174454
25,25,0.10400000214576721
26,26,0.10400000214576721
27,27,0.14399999380111694
28,28,0.15000000596046448
29,29,0.14499999582767487
30,30,0.15199999511241913
31,31,0.1599999964237213
32,32,0.15800000727176666
33,33,0.1509999930858612
34,34,0.1469999998807907
35,35,0.14100000262260437
36,36,0.14300000667572021
37,37,0.14499999582767487
38,38,0.1459999978542328
39,39,0.1459999978542328
40,40,0.13500000536441803
41,41,0.14100000262260437
42,42,0.13699999451637268
43,43,0.1379999965429306
44,44,0.14300000667572021
45,45,0.1459999978542328
46,46,0.14900000393390656
47,47,0.14800000190734863
48,48,0.1550000011920929
49,49,0.15000000596046448
50,50,0.14100000262260437
51,51,0.13199999928474426
52,52,0.13300000131130219
53,53,0.13099999725818634
54,54,0.13500000536441803
55,55,0.12800000607967377
56,56,0.14499999582767487
57,57,0.13300000131130219
58,58,0.14100000262260437
59,59,0.16599999368190765
60,60,0.1679999977350235
61,61,0.1599999964237213
62,62,0.1809999942779541
63,63,0.1899999976158142
64,64,0.19099999964237213
65,65,0.1850000023841858
66,66,0.17800000309944153
67,67,0.17100000381469727
68,68,0.17499999701976776
69,69,0.16500000655651093
70,70,0.16899999976158142
71,71,0.164000004529953
72,72,0.15800000727176666
73,73,0.16200000047683716
74,74,0.16599999368190765
75,75,0.15399999916553497
76,76,0.16699999570846558
77,77,0.17299999296665192
78,78,0.17299999296665192
79,79,0.16699999570846558
80,80,0.16599999368190765
81,81,0.1720000058412552
82,82,0.16699999570846558
83,83,0.16300000250339508
84,84,0.17900000512599945
85,85,0.17499999701976776
86,86,0.16899999976158142
87,87,0.17900000512599945
88,88,0.17900000512599945
89,89,0.17100000381469727
90,90,0.16300000250339508
91,91,0.14000000059604645
92,92,0.11699999868869781
93,93,0.14499999582767487
94,94,0.13300000131130219
95,95,0.1379999965429306
96,96,0.11999999731779099
97,97,0.11900000274181366
98,98,0.12999999523162842
99,99,0.10999999940395355
