,pruning_rate,iteration,accuracy
0,0,5400,0.8152914643287659
1,1,7350,0.8301435112953186
2,2,6300,0.8315390944480896
3,3,4500,0.8068181276321411
4,4,6450,0.832535982131958
5,5,6300,0.8372209072113037
6,6,4200,0.8104063868522644
7,7,5250,0.8335325121879578
8,8,6300,0.8264551758766174
9,9,5550,0.8302432894706726
10,10,4350,0.8176836371421814
11,11,4200,0.8221691846847534
12,12,4200,0.8192782402038574
13,13,5700,0.8208732604980469
14,14,4500,0.8175837993621826
15,15,5850,0.82984459400177
16,16,4200,0.8249605894088745
17,17,4350,0.8253588080406189
18,18,3150,0.8123005628585815
19,19,6750,0.8284487724304199
20,20,6300,0.8391149640083313
21,21,4350,0.8280500769615173
22,22,5550,0.8339312076568604
23,23,4200,0.82515949010849
24,24,6450,0.838616669178009
25,25,5250,0.8266543745994568
26,26,1950,0.7920651435852051
27,27,4200,0.8298443555831909
28,28,4650,0.8247606754302979
29,29,5250,0.8345293402671814
30,30,4200,0.8182814121246338
31,31,4200,0.8335327506065369
32,32,5700,0.8340310454368591
33,33,4200,0.8330344557762146
34,34,6300,0.8436006903648376
35,35,3300,0.8155901432037354
36,36,7350,0.8389155864715576
37,37,5250,0.83233642578125
38,38,3450,0.8205741047859192
39,39,4650,0.8334328532218933
40,40,5250,0.8374204039573669
41,41,5550,0.8277510404586792
42,42,3600,0.8219698071479797
43,43,7350,0.8490827083587646
44,44,4950,0.8392146229743958
45,45,6300,0.8377193212509155
46,46,5250,0.8384172916412354
47,47,5400,0.830841064453125
48,48,7050,0.8378188610076904
49,49,4950,0.8170857429504395
50,50,4200,0.8326357007026672
51,51,6300,0.8459927439689636
52,52,4050,0.8202749490737915
53,53,6300,0.841008722782135
54,54,6300,0.8403109312057495
55,55,6450,0.8443979620933533
56,56,5400,0.8333331942558289
57,57,4200,0.8362240791320801
58,58,4350,0.826754093170166
59,59,4200,0.838516891002655
60,60,4500,0.8306421637535095
61,61,7500,0.8412083983421326
62,62,3300,0.8175838589668274
63,63,5550,0.8348284959793091
64,64,3300,0.8197767734527588
65,65,4200,0.8175837397575378
66,66,4200,0.831838071346283
67,67,6750,0.835625946521759
68,68,4950,0.8268540501594543
69,69,3150,0.8292464017868042
70,70,6450,0.841108500957489
71,71,4200,0.8367222547531128
72,72,3450,0.809310257434845
73,73,2400,0.8132975697517395
74,74,2100,0.8193780779838562
75,75,3450,0.8149920105934143
76,76,5250,0.8395135402679443
77,77,3750,0.8038275837898254
78,78,4350,0.8377189636230469
79,79,3300,0.8270533084869385
80,80,3750,0.8223685026168823
81,81,7350,0.8460926413536072
82,82,4050,0.8213717937469482
83,83,5250,0.8362241983413696
84,84,4650,0.8276513814926147
85,85,3150,0.8209730982780457
86,86,2700,0.7993419766426086
87,87,4500,0.8114033937454224
88,88,5250,0.8279505372047424
89,89,1800,0.7921649813652039
90,90,7350,0.828449010848999
91,91,4500,0.8028308749198914
92,92,4500,0.7985446453094482
93,93,6300,0.8172844052314758
94,94,3150,0.7819976210594177
95,95,4950,0.7911680936813354
96,96,2850,0.7470096349716187
97,97,1800,0.6751397848129272
98,98,4350,0.7084331512451172
99,99,3000,0.5760568380355835
